     t	           0	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	           1	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	           2	  NANT	          10	 NANT1	          10	 NANT2	           0	
     t	           3	  NANT	          10	 NANT1	           9	 NANT2	           1	
     t	           4	  NANT	          10	 NANT1	           9	 NANT2	           1	
     t	           5	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           6	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           7	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           8	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	           9	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          10	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          11	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          12	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          13	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          14	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          15	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          16	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          17	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          18	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          19	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          20	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          21	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          22	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          23	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          24	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          25	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          26	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          27	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          28	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          29	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          30	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          31	  NANT	          10	 NANT1	           8	 NANT2	           2	
     t	          32	  NANT	          10	 NANT1	           8	 NANT2	           2	
